,STflg,tradeDate
410,ST,2011-12-22
411,ST,2011-12-23
412,ST,2011-12-26
413,ST,2011-12-27
414,ST,2011-12-28
415,ST,2011-12-29
416,ST,2011-12-30
417,ST,2012-01-04
418,ST,2012-01-05
419,ST,2012-01-06
420,ST,2012-01-09
421,ST,2012-01-10
422,ST,2012-01-11
423,ST,2012-01-12
424,ST,2012-01-13
425,ST,2012-01-16
426,ST,2012-01-17
427,ST,2012-01-18
428,ST,2012-01-19
429,ST,2012-01-20
430,ST,2012-01-30
431,ST,2012-01-31
432,ST,2012-02-01
433,ST,2012-02-02
434,ST,2012-02-03
435,ST,2012-02-06
436,ST,2012-02-07
437,ST,2012-02-08
438,ST,2012-02-09
439,ST,2012-02-10
440,ST,2012-02-13
441,ST,2012-02-14
442,ST,2012-02-15
443,ST,2012-02-16
444,ST,2012-02-17
445,ST,2012-02-20
446,ST,2012-02-21
447,ST,2012-02-22
448,ST,2012-02-23
449,ST,2012-02-24
450,ST,2012-02-27
451,ST,2012-02-28
452,ST,2012-02-29
453,ST,2012-03-01
454,ST,2012-03-02
455,ST,2012-03-05
456,ST,2012-03-06
457,ST,2012-03-07
458,ST,2012-03-08
459,ST,2012-03-09
460,ST,2012-03-12
461,ST,2012-03-13
462,ST,2012-03-14
463,ST,2012-03-15
464,ST,2012-03-16
465,ST,2012-03-19
466,ST,2012-03-20
467,ST,2012-03-21
468,ST,2012-03-22
469,ST,2012-03-23
470,ST,2012-03-26
471,ST,2012-03-27
472,ST,2012-03-28
473,ST,2012-03-29
474,ST,2012-03-30
475,ST,2012-04-05
476,ST,2012-04-06
477,ST,2012-04-09
478,ST,2012-04-10
479,ST,2012-04-11
480,ST,2012-04-12
481,ST,2012-04-13
482,ST,2012-04-16
483,ST,2012-04-17
484,ST,2012-04-18
485,ST,2012-04-19
486,ST,2012-04-20
487,ST,2012-04-23
488,ST,2012-04-24
489,ST,2012-04-25
490,ST,2012-04-26
491,ST,2012-04-27
492,ST,2012-05-02
493,ST,2012-05-03
494,ST,2012-05-04
495,ST,2012-05-07
496,ST,2012-05-08
497,ST,2012-05-09
498,ST,2012-05-10
499,ST,2012-05-11
500,ST,2012-05-14
501,ST,2012-05-15
502,ST,2012-05-16
503,ST,2012-05-17
504,ST,2012-05-18
505,ST,2012-05-21
506,ST,2012-05-22
507,ST,2012-05-23
508,ST,2012-05-24
509,ST,2012-05-25
510,ST,2012-05-28
511,ST,2012-05-29
512,ST,2012-05-30
513,ST,2012-05-31
514,ST,2012-06-01
515,ST,2012-06-04
516,ST,2012-06-05
517,ST,2012-06-06
518,ST,2012-06-07
519,ST,2012-06-08
520,ST,2012-06-11
521,ST,2012-06-12
522,ST,2012-06-13
523,ST,2012-06-14
524,ST,2012-06-15
525,ST,2012-06-18
526,ST,2012-06-19
527,ST,2012-06-20
528,ST,2012-06-21
529,ST,2012-06-25
530,ST,2012-06-26
531,ST,2012-06-27
532,ST,2012-06-28
533,ST,2012-06-29
534,ST,2012-07-02
535,ST,2012-07-03
536,ST,2012-07-04
537,ST,2012-07-05
538,ST,2012-07-06
539,ST,2012-07-09
540,ST,2012-07-10
541,ST,2012-07-11
542,ST,2012-07-12
543,ST,2012-07-13
544,ST,2012-07-16
545,ST,2012-07-17
546,ST,2012-07-18
547,ST,2012-07-19
548,ST,2012-07-20
549,ST,2012-07-23
550,ST,2012-07-24
551,ST,2012-07-25
552,ST,2012-07-26
553,ST,2012-07-27
554,ST,2012-07-30
555,ST,2012-07-31
556,ST,2012-08-01
557,ST,2012-08-02
558,ST,2012-08-03
559,ST,2012-08-06
560,ST,2012-08-07
561,ST,2012-08-08
562,ST,2012-08-09
563,ST,2012-08-10
564,ST,2012-08-13
565,ST,2012-08-14
566,ST,2012-08-15
567,ST,2012-08-16
568,ST,2012-08-17
569,ST,2012-08-20
570,ST,2012-08-21
571,ST,2012-08-22
572,ST,2012-08-23
573,ST,2012-08-24
574,ST,2012-08-27
575,ST,2012-08-28
576,ST,2012-08-29
577,ST,2012-08-30
578,ST,2012-08-31
579,*ST,2013-05-02
580,*ST,2013-05-03
581,*ST,2013-05-06
582,*ST,2013-05-07
583,*ST,2013-05-08
584,*ST,2013-05-09
585,*ST,2013-05-10
586,*ST,2013-05-13
587,*ST,2013-05-14
588,*ST,2013-05-15
589,*ST,2013-05-16
590,*ST,2013-05-17
591,*ST,2013-05-20
592,*ST,2013-05-21
593,*ST,2013-05-22
594,*ST,2013-05-23
595,*ST,2013-05-24
596,*ST,2013-05-27
597,*ST,2013-05-28
598,*ST,2013-05-29
599,*ST,2013-05-30
600,*ST,2013-05-31
601,*ST,2013-06-03
602,*ST,2013-06-04
603,*ST,2013-06-05
604,*ST,2013-06-06
605,*ST,2013-06-07
606,*ST,2013-06-13
607,*ST,2013-06-14
608,*ST,2013-06-17
609,*ST,2013-06-18
610,*ST,2013-06-19
611,*ST,2013-06-20
612,*ST,2013-06-21
613,*ST,2013-06-24
614,*ST,2013-06-25
615,*ST,2013-06-26
616,*ST,2013-06-27
617,*ST,2013-06-28
618,*ST,2013-07-01
619,*ST,2013-07-02
620,*ST,2013-07-03
621,*ST,2013-07-04
622,*ST,2013-07-05
623,*ST,2013-07-08
624,*ST,2013-07-09
625,*ST,2013-07-10
626,*ST,2013-07-11
627,*ST,2013-07-12
628,*ST,2013-07-15
629,*ST,2013-07-16
630,*ST,2013-07-17
631,*ST,2013-07-18
632,*ST,2013-07-19
633,*ST,2013-07-22
634,*ST,2013-07-23
635,*ST,2013-07-24
636,*ST,2013-07-25
637,*ST,2013-07-26
638,*ST,2013-07-29
639,*ST,2013-07-30
640,*ST,2013-07-31
641,*ST,2013-08-01
642,*ST,2013-08-02
643,*ST,2013-08-05
644,*ST,2013-08-06
645,*ST,2013-08-07
646,*ST,2013-08-08
647,*ST,2013-08-09
648,*ST,2013-08-12
649,*ST,2013-08-13
650,*ST,2013-08-14
651,*ST,2013-08-15
652,*ST,2013-08-16
653,*ST,2013-08-19
654,*ST,2013-08-20
655,*ST,2013-08-21
656,*ST,2013-08-22
657,*ST,2013-08-23
658,*ST,2013-08-26
659,*ST,2013-08-27
660,*ST,2013-08-28
661,*ST,2013-08-29
662,*ST,2013-08-30
663,*ST,2013-09-02
664,*ST,2013-09-03
665,*ST,2013-09-04
666,*ST,2013-09-05
667,*ST,2013-09-06
668,*ST,2013-09-09
669,*ST,2013-09-10
670,*ST,2013-09-11
671,*ST,2013-09-12
672,*ST,2013-09-13
673,*ST,2013-09-16
674,*ST,2013-09-17
675,*ST,2013-09-18
676,*ST,2013-09-23
677,*ST,2013-09-24
678,*ST,2013-09-25
679,*ST,2013-09-26
680,*ST,2013-09-27
681,*ST,2013-09-30
682,*ST,2013-10-08
683,*ST,2013-10-09
684,*ST,2013-10-10
685,*ST,2013-10-11
686,*ST,2013-10-14
687,*ST,2013-10-15
688,*ST,2013-10-16
689,*ST,2013-10-17
690,*ST,2013-10-18
691,*ST,2013-10-21
692,*ST,2013-10-22
693,*ST,2013-10-23
694,*ST,2013-10-24
695,*ST,2013-10-25
696,*ST,2013-10-28
697,*ST,2013-10-29
698,*ST,2013-10-30
699,*ST,2013-10-31
700,*ST,2013-11-01
701,*ST,2013-11-04
702,*ST,2013-11-05
703,*ST,2013-11-06
704,*ST,2013-11-07
705,*ST,2013-11-08
706,*ST,2013-11-11
707,*ST,2013-11-12
708,*ST,2013-11-13
709,*ST,2013-11-14
710,*ST,2013-11-15
